turn,faction_id,name,strength,territories,economy,morale,is_active,survived
1,cao,曹操,38000,4,50,84,1,1
1,liubiao,刘表,18050,4,50,67,1,1
1,liuzhang,刘璋,17100,3,50,53,1,1
1,wu,孙权,15200,3,50,86,1,1
1,mateng,马腾,11400,2,50,71,1,1
1,zhanglu,张鲁,6000,1,50,87,1,1
1,kebineng,轲比能,5000,1,50,72,1,1
1,gongsunkang,公孙康,4250,1,50,67,1,1
1,hansui,韩遂,4000,1,50,63,1,1
1,huangzu,黄祖,3060,1,50,56,1,1
1,liudu,刘度,3000,1,50,52,1,1
1,zhaofan,赵范,3000,1,50,47,1,1
1,jinxuan,金旋,3000,1,50,47,1,1
1,hanxuan,韩玄,3000,1,50,51,1,1
1,shixie,士燮,3000,1,50,72,1,1
1,budugen,步度根,3000,1,50,62,1,1
1,chengui,陈珪,3000,1,50,47,1,1
1,lifu,李傕残部,3000,1,50,21,1,1
1,taoqian,陶谦残部,3000,1,50,34,1,1
1,liubei_old,刘岱,2700,1,50,39,1,1
1,kongrong,孔融,2550,1,50,72,1,1
1,yuanshu,袁术残部,2550,1,50,26,1,1
1,zhangyang,张扬,2100,1,50,58,1,1
1,zhangxiu,张绣,1425,1,50,56,1,1
1,shu,刘备,0,0,50,97,0,0
1,wangkuang,王匡,0,0,50,40,0,0
1,baoxin,鲍信,0,0,50,57,0,0
1,menghuo,孟获,0,0,50,77,0,0
1,liuyao,刘繇,0,0,50,39,0,0
1,yanbaihu,严白虎,0,0,50,30,0,0
1,guosi,郭汜残部,0,0,50,16,0,0
2,cao,曹操,34295,5,50,79,1,1
2,liubiao,刘表,18050,4,50,71,1,1
2,liuzhang,刘璋,16245,4,50,56,1,1
2,wu,孙权,14440,3,50,87,1,1
2,mateng,马腾,10830,3,50,66,1,1
2,zhanglu,张鲁,6000,1,50,88,1,1
2,kebineng,轲比能,5000,1,50,73,1,1
2,hansui,韩遂,4000,1,50,63,1,1
2,liudu,刘度,3000,1,50,53,1,1
2,zhaofan,赵范,3000,1,50,48,1,1
2,jinxuan,金旋,3000,1,50,48,1,1
