turn,faction_id,name,strength,territories,economy,morale,is_active,survived
1,cao,曹操,40000,3,50,84,1,1
1,liubiao,刘表,20000,3,50,67,1,1
1,liuzhang,刘璋,18000,2,50,53,1,1
1,wu,孙权,16000,2,50,86,1,1
1,mateng,马腾,10200,1,50,71,1,1
1,zhanglu,张鲁,5100,1,50,87,1,1
1,gongsunkang,公孙康,5000,1,50,67,1,1
1,kebineng,轲比能,5000,1,50,72,1,1
1,hansui,韩遂,4000,1,50,63,1,1
1,menghuo,孟获,4000,1,50,77,1,1
1,huangzu,黄祖,3600,1,50,56,1,1
1,shu,刘备,3000,1,50,97,1,1
1,zhangxiu,张绣,3000,1,50,56,1,1
1,liudu,刘度,3000,1,50,52,1,1
1,zhaofan,赵范,3000,1,50,47,1,1
1,jinxuan,金旋,3000,1,50,47,1,1
1,hanxuan,韩玄,3000,1,50,51,1,1
1,kongrong,孔融,3000,1,50,72,1,1
1,baoxin,鲍信,3000,1,50,57,1,1
1,shixie,士燮,3000,1,50,72,1,1
1,budugen,步度根,3000,1,50,62,1,1
1,liuyao,刘繇,3000,1,50,39,1,1
1,chengui,陈珪,3000,1,50,47,1,1
1,lifu,李傕残部,3000,1,50,21,1,1
1,guosi,郭汜残部,3000,1,50,16,1,1
1,taoqian,陶谦残部,3000,1,50,34,1,1
1,yuanshu,袁术残部,3000,1,50,26,1,1
1,liubei_old,刘岱,2700,1,50,39,1,1
1,zhangyang,张扬,2100,1,50,58,1,1
1,wangkuang,王匡,0,0,50,40,0,0
1,yanbaihu,严白虎,0,0,50,30,0,0
2,cao,曹操,45000,3,50,84,1,1
2,liubiao,刘表,25000,3,50,70,1,1
2,wu,孙权,19000,2,50,87,1,1
2,liuzhang,刘璋,18000,2,50,55,1,1
2,mateng,马腾,10200,1,50,71,1,1
2,zhanglu,张鲁,5100,1,50,88,1,1
2,gongsunkang,公孙康,5000,1,50,68,1,1
2,kebineng,轲比能,5000,1,50,73,1,1
2,hansui,韩遂,4000,1,50,63,1,1
2,menghuo,孟获,4000,1,50,78,1,1
2,huangzu,黄祖,3600,1,50,56,1,1
2,shu,刘备,3000,1,50,98,1,1
2,zhangxiu,张绣,3000,1,50,56,1,1
2,liudu,刘度,3000,1,50,53,1,1
2,zhaofan,赵范,3000,1,50,48,1,1
2,jinxuan,金旋,3000,1,50,48,1,1
2,hanxuan,韩玄,3000,1,50,51,1,1
2,kongrong,孔融,3000,1,50,73,1,1
2,baoxin,鲍信,3000,1,50,58,1,1
2,shixie,士燮,3000,1,50,73,1,1
2,budugen,步度根,3000,1,50,63,1,1
2,liuyao,刘繇,3000,1,50,40,1,1
2,chengui,陈珪,3000,1,50,48,1,1
2,lifu,李傕残部,3000,1,50,22,1,1
2,guosi,郭汜残部,3000,1,50,17,1,1
2,taoqian,陶谦残部,3000,1,50,35,1,1
2,yuanshu,袁术残部,3000,1,50,27,1,1
2,liubei_old,刘岱,2565,1,50,40,1,1
2,zhangyang,张扬,1550,1,50,53,1,1
2,wangkuang,王匡,0,0,50,40,0,0
2,yanbaihu,严白虎,0,0,50,30,0,0
3,cao,曹操,45000,3,50,87,1,1
3,liubiao,刘表,25000,3,50,75,1,1
3,wu,孙权,19000,2,50,88,1,1
3,liuzhang,刘璋,18000,2,50,58,1,1
3,mateng,马腾,9180,2,50,73,1,1
3,zhanglu,张鲁,5100,1,50,89,1,1
