turn,year,season,active_factions,total_strength,max_strength,max_faction,min_strength,min_faction,median_strength,gini_strength,casualties,battles,diplomacy_events
1,208,winter,24,160385,38000,cao,1425,liubei_old,3000.0,0.4878,0,0,0
2,209,spring,21,141905,34295,cao,1354,liubei_old,3000,0.508,0,0,0
3,209,summer,19,134328,34295,cao,1287,liubei_old,3000,0.51,0,0,0
4,209,autumn,17,121351,32581,cao,1223,liubei_old,3000,0.4989,0,0,0
5,209,winter,15,108033,30952,cao,1162,liubei_old,4000,0.4978,0,0,0
6,210,spring,14,98190,29405,cao,1104,liubei_old,3500.0,0.496,0,0,0
7,210,summer,12,86645,27935,cao,1049,liubei_old,4186.0,0.49,0,0,0
8,210,autumn,11,80959,27935,cao,997,liubei_old,4567,0.4734,0,0,0
9,210,winter,10,73407,26539,cao,948,liubei_old,4941.0,0.4716,0,0,0
10,211,spring,9,67597,26539,cao,901,liubei_old,5789,0.4788,0,0,0
11,211,summer,9,63760,25213,cao,856,liubei_old,4921,0.4841,0,0,0
12,211,autumn,9,62012,25213,cao,1314,liubei_old,4183,0.4863,0,0,0
13,211,winter,7,51182,23953,cao,1463,liubei_old,3379,0.4874,0,0,0
14,212,spring,7,52331,23953,cao,1390,liubei_old,3000,0.5031,0,0,0
15,212,summer,7,51609,23953,cao,1258,liubei_old,3000,0.5025,0,0,0
16,212,autumn,7,51067,23953,cao,1517,liubei_old,3000,0.4973,0,0,0
17,212,winter,7,50023,22756,cao,1072,liubei_old,3000,0.4957,0,0,0
18,213,spring,7,48550,21619,cao,790,liubei_old,3678,0.4898,0,0,0
19,213,summer,7,46305,20539,cao,601,liubei_old,3455,0.4917,0,0,0
20,213,autumn,7,47249,19513,cao,500,liubei_old,4507,0.481,0,0,0
21,213,winter,7,45449,18538,cao,500,liubei_old,4361,0.4767,0,0,0
22,214,spring,7,46047,17612,cao,500,liubei_old,5360,0.4631,0,0,0
23,214,summer,7,44459,16732,cao,500,liubei_old,5265,0.4581,0,0,0
24,214,autumn,7,45230,15896,cao,500,liubei_old,6388,0.4369,0,0,0
25,214,winter,7,43822,15102,cao,500,liubei_old,6327,0.4312,0,0,0
26,215,spring,7,43647,14347,cao,500,liubei_old,7432,0.4141,0,0,0
27,215,summer,7,43712,13630,cao,500,liubei_old,7392,0.4129,0,0,0
28,215,autumn,7,44246,12949,cao,500,liubei_old,7449,0.392,0,0,0
29,215,winter,7,43097,12302,cao,500,liubei_old,7259,0.3875,0,0,0
30,216,spring,7,43168,11687,cao,500,liubei_old,7078,0.3804,0,0,0
31,216,summer,7,43451,11103,cao,500,liubei_old,8220,0.3646,0,0,0
32,216,autumn,7,45195,11034,cao,500,liubei_old,8057,0.3702,0,0,0
